School Name,Degree Level,PGM-CD,Program Name,CIP,Add/Dis/Mov/Red,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Allegany College of Maryland,UNKNOWN DEGREE LEVEL,520301,DENTAL HYGIENE,510602,,0,0,0,0,0,67,0,0,0,0,0,0,0,0
Allegany College of Maryland,UNKNOWN DEGREE LEVEL,520501,MEDICAL LABORATORY TECH,511004,,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Allegany College of Maryland,UNKNOWN DEGREE LEVEL,520701,RADIOLOGIC TECH,510907,,0,0,0,0,0,36,0,0,0,0,0,0,0,0
Allegany College of Maryland,UNKNOWN DEGREE LEVEL,520801,NURSING,513801,,0,0,0,0,0,411,0,0,0,0,0,0,0,0
Allegany College of Maryland,UNKNOWN DEGREE LEVEL,520901,PRACTICAL NURSING,513901,,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Allegany College of Maryland,UNKNOWN DEGREE LEVEL,521001,OCCUPATIONAL THERAPY ASSISTANT,510803,,0,0,0,0,0,44,0,0,0,0,0,0,0,0
Allegany College of Maryland,UNKNOWN DEGREE LEVEL,521401,MEDICAL ASSISTANT,510801,,0,0,0,0,0,27,0,0,0,0,0,0,0,0
Allegany College of Maryland,UNKNOWN DEGREE LEVEL,521501,RESPIRATORY THERAPIST,510908,,0,0,0,0,0,32,0,0,0,0,0,0,0,0
Allegany College of Maryland,UNKNOWN DEGREE LEVEL,521601,HUMAN SERVICES ASSOCIATE,511502,,0,0,0,0,0,50,0,0,0,0,0,0,0,0
Allegany College of Maryland,UNKNOWN DEGREE LEVEL,521901,PHYSICAL THERAPIST ASSISTANT,510806,,0,0,0,0,0,99,0,0,0,0,0,0,0,0
Allegany College of Maryland,UNKNOWN DEGREE LEVEL,559920,MASSAGE THERAPY,513501,,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,495001,GENERAL STUDIES,240199,Approved in 2012,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,500101,BUSINESS SUPERVISION,520101,,5,18,13,1,0,1,0,0,0,0,0,0,0,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,500102,BUSINESS ENTREPRENEURSHIP,520201,Approved in 2006,2,0,3,5,2,3,6,0,3,6,5,4,1,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,500103,BUSINESS MARKETING & SALES,520201,Approved in 2006,0,3,3,5,4,6,4,4,5,4,5,5,2,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,500202,BUSINESS ACCOUNTING CERTIFICATE,520302,Approved in 2003,6,9,10,7,13,8,5,0,8,3,2,6,2,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,500501,OFFICE TECHNOLOGIES-ADMIN OFFICE SU,520401,Discontinued in 2019,0,0,1,1,1,5,5,2,3,1,0,0,0,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,500502,BUSINESS OFFICE SUPPORT SPECIALIST,520401,Discontinued in 2015,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,500801,GRAPHIC DESIGN,100105,Approved in 2014,0,0,0,0,0,0,0,0,0,2,0,2,2,2
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,501003,EVENT MANAGEMENT,520907,Approved in 2018,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,509911,PROFESSIONAL GOLF MANAGEMENT,520901,Discontinued in 2019,0,0,10,15,13,11,5,3,5,3,1,2,1,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,510102,TECHNICAL SUPPORT,521201,Approved in 2006,1,0,2,3,3,0,0,1,1,2,3,1,0,2
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,510103,PROGRAMMING,521201,Approved in 2006,0,0,0,0,0,0,0,1,3,0,0,0,0,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,510104,CYBERSECURITY,111003,Approved in 2015,0,0,0,0,0,0,0,0,0,0,14,14,10,7
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,510105,COMPUTER SERVICES TECHNICIAN,151202,Discontinued in 2015,12,9,5,4,4,4,7,5,7,3,1,0,0,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,510505,APPLICATIONS USER SPECIALIST,151202,Approved in 2003,0,1,0,1,1,0,0,0,1,0,0,0,0,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,520101,PHARMACY TECHNICIAN,510805,Approved in 2000,17,14,15,26,27,30,24,18,25,20,15,10,10,7
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,520500,PHLEBOTOMY/LABORATORY ASSISTANT,510802,Approved in 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,520520,MEDICAL LAB TECHNOLOGY-BIOTECHNOLOG,511099,Approved in 2003,0,0,0,0,0,2,3,2,2,1,1,0,0,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,520901,PRACTICAL NURSING,513901,,6,4,4,5,7,0,5,10,5,8,10,2,0,1
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,521301,MEDICAL CODING AND BILLING CERTIFIC,510707,Approved in 2003,14,35,25,39,44,39,30,30,22,22,15,12,8,7
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,521402,MEDICAL SCRIBE SPECIALIST,510801,Approved in 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,521410,BASIC MEDICAL TRANSCRIPTION CERTIFI,520406,Discontinued in 2013,4,3,8,2,6,6,0,0,0,0,0,0,0,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,521600,ADDICTIONS,511501,Approved in 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,529940,NURSING ASSISTANT/GERIATRIC AIDE,513902,Approved in 2002,27,15,17,19,29,35,20,25,37,16,10,13,14,7
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,529942,IN-HOME NURSING ASSISTANT,512602,Discontinued in 2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,529960,PHLEBOTOMY/EKG TECHNICIAN,519999,Approved in 2002,49,40,36,53,42,39,40,30,38,19,33,31,1,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,530601,AUTOMOTIVE TECH,470604,,15,8,3,5,1,3,5,5,4,4,0,8,6,5
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,531205,INDUSTRIAL/BUILDING TECHNOLOGY,469999,Discontinued in 2011,2,1,1,1,0,0,0,0,0,0,0,0,0,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,540301,TREE CARE TECHNOLOGY,30511,Approved in 2006,0,0,1,1,1,0,2,2,1,1,0,1,1,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,540402,BAKING ESSENTIALS,120501,Approved in 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,540404,DIETARY MANAGER,513104,Approved in 2010,0,0,0,0,0,3,2,3,1,2,2,1,2,1
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,550501,CRIMINAL JUSTICE,430107,,0,2,3,4,8,6,1,0,2,4,0,3,1,0
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,559901,LEGAL STUDIES,220302,Approved in 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,559920,MASSAGE THERAPY,513501,Approved in 2017,0,0,0,0,0,0,0,0,0,0,0,5,3,3
Allegany College of Maryland,LOWER DIVISION CERTIFICATE,560006,DIRECTED TECHNOLOGY (TRAVEL/TOURISM,520903,Discontinued in 2010,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Allegany College of Maryland,ASSOCIATE,491001,ARTS & SCIENCES TRANSFER,240101,,325,293,255,304,323,179,318,325,350,339,269,170,139,145
Allegany College of Maryland,ASSOCIATE,494001,ENGINEERING TRANSFER,140101,Discontinued in 2015,20,17,24,15,15,24,36,33,25,12,0,0,0,0
Allegany College of Maryland,ASSOCIATE,495001,GENERAL STUDIES TRANSFER,240199,,297,278,303,284,286,286,267,258,217,300,267,322,601,670
Allegany College of Maryland,ASSOCIATE,496001,TEACHER EDUCATION TRANSFER,130101,,122,118,120,121,133,159,91,74,78,56,52,55,54,50
Allegany College of Maryland,ASSOCIATE,496011,ELEMENTARY EDUCATION (AAT),131202,Approved in 2002,5,2,3,2,5,1,6,0,3,8,15,7,21,15
Allegany College of Maryland,ASSOCIATE,497001,BUSINESS ADMINISTRATION TRANSFER,520101,,80,71,81,76,61,69,44,41,58,44,44,58,37,33
Allegany College of Maryland,ASSOCIATE,498001,COMPUTER SCIENCE TRANSFER,110101,,18,25,25,30,26,23,31,24,38,48,43,39,27,17
Allegany College of Maryland,ASSOCIATE,500101,BUSINESS MANAGEMENT,520201,,134,131,128,130,138,166,154,111,90,82,68,74,73,66
Allegany College of Maryland,ASSOCIATE,500501,OFFICE TECH.,520401,Discontinued in 2019,73,64,69,72,70,69,64,54,59,55,39,20,0,0
Allegany College of Maryland,ASSOCIATE,500801,MULTIMEDIA TECHNOLOGY,100105,,50,56,61,58,42,53,58,51,46,48,40,36,31,29
Allegany College of Maryland,ASSOCIATE,501002,HOSPITALITY MANAGEMENT,520904,Approved in 1986,20,15,13,14,17,15,22,21,19,25,25,22,10,9
Allegany College of Maryland,ASSOCIATE,510101,COMPUTER TECHNOLOGY,521201,,102,114,118,117,119,100,91,80,102,81,84,94,82,75
Allegany College of Maryland,ASSOCIATE,520301,DENTAL HYGIENE,510602,,150,161,153,147,141,74,139,90,74,76,79,76,49,39
Allegany College of Maryland,ASSOCIATE,520501,MEDICAL LABORATORY TECH,511004,,41,22,25,40,44,25,32,32,32,30,30,24,22,17
Allegany College of Maryland,ASSOCIATE,520701,RADIOLOGIC TECH,510907,Discontinued in 2020,90,101,99,94,77,30,69,58,57,56,53,37,12,0
Allegany College of Maryland,ASSOCIATE,520801,NURSING,513801,,567,527,596,678,727,322,705,647,588,541,548,386,271,276
Allegany College of Maryland,ASSOCIATE,521001,OCCUPATIONAL THERAPY ASSISTANT,510803,Approved in 1992,51,54,74,87,95,52,74,68,65,63,60,48,25,14
Allegany College of Maryland,ASSOCIATE,521401,MEDICAL ASSISTANT,510801,Approved in 2000,37,38,49,51,50,14,41,39,34,36,33,33,21,19
